time,open,high,low,close,tick_volume,spread,real_volume,ema_50,ema_200,ema_cross,take_profit,stop_price,stop_loss
1724368200,1.11098,1.11098,1.11094,1.1109499999999999,19,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368260,1.1109499999999999,1.11099,1.1109499999999999,1.11097,20,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368320,1.11097,1.11105,1.11096,1.11105,17,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368380,1.11105,1.11107,1.11103,1.11104,16,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368440,1.11104,1.11105,1.11097,1.11097,8,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368500,1.11097,1.11099,1.1109499999999999,1.11097,7,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368560,1.11097,1.111,1.11097,1.111,5,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368620,1.111,1.111,1.11097,1.11097,8,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368680,1.11097,1.11099,1.11096,1.11097,11,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368740,1.11097,1.11097,1.11094,1.1109499999999999,14,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368800,1.1109499999999999,1.1109499999999999,1.11088,1.11088,6,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368860,1.11088,1.11088,1.11084,1.1108500000000001,4,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368920,1.1108500000000001,1.1108500000000001,1.11084,1.11084,10,0,0,0.0,0.0,False,0.0,0.0,0.0
1724368980,1.11084,1.1108500000000001,1.11083,1.11084,8,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369040,1.11084,1.1108500000000001,1.11078,1.11078,10,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369100,1.11078,1.11079,1.11077,1.11078,9,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369160,1.11078,1.11078,1.11077,1.11077,6,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369220,1.11077,1.11078,1.11077,1.11078,4,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369280,1.11078,1.11084,1.11078,1.11084,10,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369340,1.11084,1.11084,1.11078,1.11082,15,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369400,1.11082,1.11088,1.11082,1.11087,16,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369460,1.11087,1.11098,1.11086,1.11098,11,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369520,1.11098,1.11108,1.11098,1.11108,35,1,0,0.0,0.0,False,0.0,0.0,0.0
1724369580,1.1111,1.11116,1.11109,1.11113,13,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369640,1.11113,1.11113,1.11109,1.11109,13,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369700,1.1111,1.11111,1.11108,1.11109,8,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369760,1.11108,1.11108,1.11105,1.11106,6,0,0,0.0,0.0,False,0.0,0.0,0.0
1724369820,1.11107,1.11107,1.11105,1.11106,7,0,0,0.0,0.0,False,0.0,0.0,0.0
