time,open,high,low,close,tick_volume,spread,real_volume,ema_short,ema_long,macd,signal,macd_cross,macd_cross_prev,macd_event
1724368320,1.11097,1.11105,1.11096,1.11105,17,0,0,1.1109861629494766,1.1109825941167506,3.5688327260086083e-06,-1.582753277240569e-08,True,False,True
1724368620,1.111,1.111,1.11097,1.11097,8,0,0,1.110986436666396,1.1109844402233142,1.996443081742072e-06,2.5418058408540607e-06,False,True,True
1724369460,1.11087,1.11098,1.11086,1.11098,11,0,0,1.1108675349420978,1.1108965347338806,-2.8999791782835516e-05,-3.7884359563244256e-05,True,False,True
1724370840,1.11114,1.11114,1.1111,1.11111,9,0,0,1.1111303562974297,1.1110861943086627,4.416198876699973e-05,4.8311492087603405e-05,False,True,True
1724370960,1.11113,1.11126,1.11113,1.11125,15,1,0,1.1111487166389882,1.1111013325691552,4.73840698329564e-05,4.693413814310516e-05,True,False,True
1724371080,1.11122,1.11123,1.11111,1.11113,16,1,0,1.1111551166468496,1.1111115951381647,4.352150868491833e-05,4.667183985983227e-05,False,True,True
1724371620,1.11106,1.11115,1.11106,1.11113,4,13,0,1.110921675246338,1.1109580888798454,-3.641363350737059e-05,-5.466642986260584e-05,True,False,True
1724372460,1.11107,1.11108,1.11107,1.11108,2,15,0,1.1110824326249045,1.1110572596043113,2.517302059312776e-05,2.58660627237521e-05,False,True,True
1724373300,1.1111,1.11112,1.11109,1.11112,8,14,0,1.111102397230455,1.1110857129806988,1.668424975620475e-05,1.6363870862016403e-05,True,False,True
1724373360,1.11108,1.11112,1.11097,1.11109,28,6,0,1.1111004899642312,1.1110860305376842,1.445942654698662e-05,1.598298199901045e-05,False,True,True
1724374680,1.11108,1.11115,1.11108,1.11115,9,8,0,1.11108226595719,1.1110798641589386,2.401798251394638e-06,-2.838669515800465e-06,True,False,True
1724375100,1.1111,1.1111,1.11107,1.11108,5,0,0,1.1111067102407415,1.111097747616439,8.962624302499833e-06,9.3102524662408e-06,False,True,True
1724375160,1.11109,1.11113,1.11109,1.11112,12,0,0,1.111108754819089,1.1110993959411473,9.358877941734178e-06,9.319977561339477e-06,True,False,True
1724376720,1.11152,1.11152,1.11141,1.11142,25,0,0,1.1114633284801634,1.111385396062067,7.793241809639362e-05,8.608813039634064e-05,False,True,True
1724377080,1.11161,1.11162,1.11159,1.11161,15,0,0,1.111525881298731,1.111447749428414,7.813187031691093e-05,7.695452689984065e-05,True,False,True
