time,open,high,low,close,tick_volume,spread,real_volume,rsi,rsi_signal
1724420760,1.1122,1.11226,1.11217,1.11225,46,0,0,74.76635514018537,sell
1724420820,1.11225,1.11233,1.11224,1.11229,34,0,0,79.24528301887544,sell
1724420880,1.11229,1.11234,1.11225,1.11225,16,0,0,74.75728155340182,sell
1724421600,1.11197,1.11197,1.11182,1.11183,74,0,0,22.36842105263581,buy
1724421960,1.11167,1.11167,1.1115,1.1115,43,0,0,27.97202797201723,buy
1724422020,1.11151,1.11155,1.11147,1.11149,40,0,0,29.85074626864906,buy
1724423340,1.11125,1.11129,1.11121,1.11122,31,0,0,23.529411764708968,buy
1724423400,1.11123,1.11131,1.11113,1.1112,77,0,0,24.39024390243506,buy
1724423460,1.1112,1.11126,1.11113,1.11113,34,0,0,22.47191011235563,buy
1724423520,1.11113,1.11121,1.11111,1.11112,53,0,0,22.222222222222214,buy
1724423580,1.11112,1.11113,1.11111,1.11112,23,0,0,24.691358024696086,buy
1724424180,1.11154,1.11155,1.1114600000000001,1.11154,50,0,0,71.62162162160135,sell
1724424240,1.11154,1.11172,1.11154,1.1117,36,0,0,78.40909090908087,sell
1724424300,1.1117,1.11177,1.11168,1.11176,41,0,0,86.20689655171621,sell
1724424360,1.11176,1.11184,1.11174,1.11181,30,0,0,87.91208791206297,sell
1724424420,1.11181,1.11192,1.11179,1.11187,40,0,0,88.65979381440869,sell
1724424480,1.11187,1.11189,1.11176,1.11176,52,0,0,77.99999999999645,sell
1724424540,1.11176,1.11182,1.11173,1.11179,31,0,0,75.28089887640002,sell
1724424600,1.11179,1.11184,1.11174,1.11174,21,0,0,75.28089887640002,sell
1724424660,1.11174,1.1118999999999999,1.11168,1.11189,28,0,0,78.21782178217126,sell
1724424720,1.11189,1.11198,1.11185,1.11197,27,0,0,78.43137254900937,sell
1724424780,1.11197,1.11204,1.11189,1.11195,59,0,0,81.63265306123559,sell
1724424840,1.11195,1.11196,1.11187,1.11195,30,0,0,81.25000000000867,sell
1724424900,1.11195,1.11208,1.11192,1.11199,47,0,0,82.00000000000932,sell
1724424960,1.11199,1.11205,1.11197,1.11203,43,0,0,78.82352941177761,sell
1724425020,1.11203,1.11203,1.11194,1.112,46,0,0,76.13636363637768,sell
1724425080,1.11201,1.11206,1.11198,1.11205,63,0,0,72.72727272728584,sell
1724425980,1.11228,1.11228,1.11216,1.11224,55,0,0,71.99999999999527,sell
1724426460,1.11187,1.11188,1.11172,1.11174,85,0,0,29.090909090892566,buy
1724426520,1.11174,1.11174,1.1116,1.11165,63,0,0,26.271186440672693,buy
1724426580,1.11164,1.11168,1.1115,1.11151,76,0,0,24.999999999991047,buy
1724426640,1.11151,1.11152,1.11135,1.11139,65,0,0,19.23076923076397,buy
1724426700,1.11139,1.11139,1.11113,1.11114,57,0,0,10.958904109586328,buy
1724426760,1.11114,1.11141,1.11114,1.11136,44,0,0,22.61904761904148,buy
1724426820,1.11136,1.11147,1.11131,1.1114,39,0,0,24.999999999996703,buy
1724426880,1.11142,1.11142,1.11133,1.11136,30,0,0,24.4186046511589,buy
